0	7.64853	7.87718	7.87464	5.96406	4.5607	5.90339	6.80955	5.70088	7.64199	8.09197	6.30714	3.90513	9.9368	7.75242	9.65401	5.28394	2.5632	3.27567	4.31857	6.0208	7.70584	9.43398	12.0067	10.0881	5.96154	3.75899	1.78885	5.90762	7.18401	5.44059	0.761577	
7.64853	0	2.61725	6.76831	5.54707	4.11096	3.10644	2.48395	3.60555	4.15933	5.23259	6.37809	3.74833	11.5169	11.3225	14.5911	11.7992	7.66616	7.00928	8.38153	7.6844	9.96394	11.4586	13.14	13.3405	10.5849	9.47259	9.38616	13.2966	13.4391	11.086	7.0342	
7.87718	2.61725	0	4.38634	3.70135	3.40147	2	4.88467	5.66127	6.67308	7.74919	8.5	4.47214	9.25905	9.5483	12.9958	10.9731	7.0214	8.3006	9.81835	9.62081	11.9604	13.5724	15.4548	15.2742	12.0652	10.5603	9.40479	12.8891	14.5231	12.2984	7.14493	
7.87464	6.76831	4.38634	0	2.02485	4.21545	4.005	8.50059	8.72983	10.3078	11.3283	11.2929	6.39062	4.88774	5.72451	9.25905	8.61452	5.77062	9.84784	11.3719	12.0017	14.2664	16.0153	18.2584	17.2887	13.4629	11.463	8.73213	11.0476	15.0572	13.2246	7.15052	
5.96406	5.54707	3.70135	2.02485	0	2.2561	2.46982	6.87314	6.91158	8.62844	9.60469	9.36216	4.43847	6.06383	5.87282	9.2957	7.59539	4.12311	7.82304	9.34773	10.009	12.2577	14.0118	16.2865	15.2643	11.4477	9.47523	7.00071	9.80051	13.14	11.245	5.22015	
4.5607	4.11096	3.40147	4.21545	2.2561	0	1.40357	4.83839	4.70106	6.51153	7.44312	7.10634	2.18403	8.14985	7.38241	10.5262	7.78203	3.7	5.74891	7.3	7.78781	10.0648	11.8068	14.0456	13.1488	9.47523	7.66094	6.01332	9.53415	11.5104	9.44034	3.80789	
5.90339	3.10644	2	4.005	2.46982	1.40357	0	4.50111	4.78017	6.30317	7.32462	7.47329	2.82843	8.51646	8.2201	11.5278	9.1	5.06952	6.67083	8.22192	8.37616	10.7075	12.402	14.4931	13.9176	10.4484	8.7818	7.40608	10.9238	12.7012	10.5475	5.16236	
6.80955	2.48395	4.88467	8.50059	6.87314	4.83839	4.50111	0	1.40357	1.82483	2.88617	3.94081	3.26496	12.9248	12.1742	15.1476	11.6726	7.65768	5.20384	6.36396	5.32353	7.5452	8.99389	10.6607	10.9289	8.46463	7.70065	8.59593	12.7094	11.5525	9.15478	6.38201	
5.70088	3.60555	5.66127	8.72983	6.91158	4.70106	4.78017	1.40357	0	2.02485	2.78927	2.84253	2.69258	12.839	11.7644	14.5362	10.7713	6.91158	3.81182	4.96488	4.08044	6.37809	7.93095	9.81122	9.74526	7.08802	6.30317	7.46324	11.6017	10.1494	7.75242	5.37401	
7.64199	4.15933	6.67308	10.3078	8.62844	6.51153	6.30317	1.82483	2.02485	0	1.07703	2.94279	4.66155	14.6513	13.7295	16.5529	12.7781	8.93588	5.29245	6.06712	4.45533	6.40781	7.65506	9.06863	9.74936	7.90569	7.64003	9.3723	13.5093	11.2219	8.83629	7.36614	
